latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.7302,-122.49134,Private room,1.0,1.0,1.0,93.0,Private room in guest suite,2
37.7877,-122.41211,Private room,1.0,1.0,1.0,74.0,Room in aparthotel,1
37.76697,-122.4391,Entire home/apt,1.0,1.0,0.0,314.0,Entire guest suite,2
37.80411,-122.44081,Entire home/apt,1.0,1.0,1.0,510.0,Entire rental unit,2
37.74835,-122.44566,Entire home/apt,2.5,3.0,4.0,193.0,Entire rental unit,6
37.76019,-122.42568,Entire home/apt,2.0,6.0,7.0,998.0,Entire home,11
37.70951,-122.449,Private room,2.0,1.0,1.0,48.0,Private room in condo,1
37.75570679,-122.4270325,Entire home/apt,2.0,3.0,3.0,495.0,Entire home,6
37.71096,-122.44862,Private room,2.0,1.0,1.0,45.0,Private room in condo,1
37.75834,-122.50591,Entire home/apt,1.0,1.0,2.0,103.0,Entire rental unit,2
37.76454,-122.43476,Entire home/apt,1.0,1.0,1.0,163.0,Entire guest suite,2
37.78353,-122.44664,Entire home/apt,1.0,1.0,1.0,252.0,Entire rental unit,2
37.76165,-122.42766,Entire home/apt,1.0,1.0,0.0,80.0,Entire rental unit,2
37.76358,-122.49363,Entire home/apt,1.0,2.0,3.0,110.0,Entire rental unit,5
37.78876,-122.44591,Entire home/apt,1.0,1.0,1.0,265.0,Entire guest suite,3
37.77957,-122.4842,Entire home/apt,1.0,2.0,4.0,136.0,Entire rental unit,6
37.76059,-122.47674,Entire home/apt,1.0,1.0,2.0,190.0,Entire guest suite,2
37.75911,-122.5081,Entire home/apt,1.0,1.0,1.0,140.0,Entire home,2
37.74251,-122.47434,Private room,1.0,1.0,2.0,200.0,Private room in rental unit,4
37.74411,-122.47555,Private room,1.0,1.0,1.0,60.0,Private room in rental unit,2
37.7562582,-122.3993553,Entire home/apt,2.0,2.0,3.0,420.0,Entire home,6
37.79677,-122.42824,Entire home/apt,2.5,3.0,3.0,450.0,Entire rental unit,6
37.79206,-122.40817,Entire home/apt,1.0,1.0,1.0,105.0,Entire rental unit,2
37.775761,-122.406944,Entire home/apt,1.0,1.0,1.0,109.0,Entire rental unit,2
37.74433,-122.50363,Entire home/apt,1.0,2.0,2.0,270.0,Entire guest suite,4
37.74699,-122.47593,Private room,2.0,1.0,1.0,95.0,Private room in home,2
37.80485,-122.42075,Entire home/apt,1.0,1.0,1.0,140.0,Entire rental unit,2
37.73354,-122.4228,Entire home/apt,1.0,1.0,1.0,212.0,Entire rental unit,2
37.76342,-122.4327,Private room,1.0,1.0,1.0,120.0,Private room in home,2
37.77489224,-122.439764,Entire home/apt,2.5,3.0,3.0,809.0,Entire townhouse,6
37.79213,-122.44256,Entire home/apt,1.0,1.0,2.0,246.0,Entire condo,2
37.75213,-122.4129,Entire home/apt,1.0,1.0,1.0,74.0,Tiny home,2
37.7658,-122.45223,Private room,3.0,1.0,2.0,65.0,Private room in rental unit,1
37.73439,-122.387894,Private room,3.0,3.0,3.0,237.0,Private room in home,6
37.7441,-122.47415,Private room,1.0,1.0,1.0,90.0,Private room in rental unit,3
37.78661,-122.4142,Private room,1.0,1.0,1.0,62.0,Private room in rental unit,1
37.76296,-122.42,Entire home/apt,1.0,1.0,1.0,78.0,Entire rental unit,2
37.7345,-122.42515,Entire home/apt,1.5,3.0,3.0,145.0,Entire home,4
